"Name","Length"
"KBPPvKPP.rtbz","1058776592"
"KBPPvKQB.rtbz","11739816016"
"KBPPvKQN.rtbz","13306719440"
"KBPPvKQP.rtbz","4627040912"
"KBPPvKQQ.rtbz","1078764624"
"KBPPvKQR.rtbz","3811701456"
"KBPPvKRB.rtbz","33469896656"
"KBPPvKRN.rtbz","35291408400"
"KBPPvKRP.rtbz","12859232976"
"KBPPvKRR.rtbz","10421687632"
"KNNNNNvK.rtbz","285581712"
"KNNNNPvK.rtbz","126255632"
"KNNNNvKB.rtbz","2119531920"
"KNNNNvKN.rtbz","1846995792"
"KNNNNvKP.rtbz","1358913808"
"KNNNNvKQ.rtbz","1101740368"
"KNNNNvKR.rtbz","2122197520"
"KNNNPPvK.rtbz","83803408"
"KNNNPvKB.rtbz","2888548496"
"KNNNPvKN.rtbz","2029886480"
"KNNNPvKP.rtbz","1085002448"
"KNNNPvKQ.rtbz","8270587984"
"KNNNPvKR.rtbz","16677360144"
"KNNNvKBB.rtbz","54998800"
"KNNNvKBN.rtbz","128138704"
"KNNNvKBP.rtbz","24291344080"
"KNNNvKNN.rtbz","176030032"
"KNNNvKNP.rtbz","28936939280"
"KNNNvKPP.rtbz","3902383952"
"KNNNvKQB.rtbz","3508384336"
"KNNNvKQN.rtbz","4673440464"
"KNNNvKQP.rtbz","5153899600"
"KNNNvKQQ.rtbz","309234128"
"KNNNvKQR.rtbz","1650468048"
"KNNNvKRB.rtbz","1533491792"
"KNNNvKRN.rtbz","215806864"
"KNNNvKRP.rtbz","1354438288"
"KNNNvKRR.rtbz","1762009936"
"KNNPPPvK.rtbz","39246608"
"KNNPPvKB.rtbz","1515554704"
"KNNPPvKN.rtbz","1359524624"
"KNNPPvKP.rtbz","573770832"
"KNNPPvKQ.rtbz","8455583248"
"KNNPPvKR.rtbz","11766054800"
"KNNPvKBB.rtbz","3373810448"
"KNNPvKBN.rtbz","5902193296"
"KNNPvKBP.rtbz","28142179984"
"KNNPvKNN.rtbz","2809577424"
"KNNPvKNP.rtbz","23357510800"
"KNNPvKPP.rtbz","3870371536"
"KNNPvKQB.rtbz","16794824656"
"KNNPvKQN.rtbz","21350295312"
"KNNPvKQP.rtbz","8426818128"
"KNNPvKQQ.rtbz","1774123728"
"KNNPvKQR.rtbz","7560816656"
"KNNPvKRB.rtbz","43025240336"
"KNNPvKRN.rtbz","15985967248"
"KNNPvKRP.rtbz","8491432080"
"KNNPvKRR.rtbz","21433641040"
"KNPPPPvK.rtbz","11418832"
"KNPPPvKB.rtbz","665236880"
"KNPPPvKN.rtbz","408581584"
"KNPPPvKP.rtbz","189133392"
"KNPPPvKQ.rtbz","4018686608"
"KNPPPvKR.rtbz","2733418128"
"KNPPvKBB.rtbz","11666923856"
"KNPPvKBN.rtbz","3145423504"
"KNPPvKBP.rtbz","7104144272"
"KNPPvKNN.rtbz","1397370192"
"KNPPvKNP.rtbz","6536127184"
"KNPPvKPP.rtbz","1550631440"
"KNPPvKQB.rtbz","8331290320"
"KNPPvKQN.rtbz","11060949648"
"KNPPvKQP.rtbz","4024094544"
"KNPPvKQQ.rtbz","940345936"
"KNPPvKQR.rtbz","3199709968"
"KNPPvKRB.rtbz","26661511184"
"KNPPvKRN.rtbz","31191806416"
"KNPPvKRP.rtbz","12131137360"
"KNPPvKRR.rtbz","8515956176"
"KPPPPPvK.rtbz","1652304"
"KPPPPvKB.rtbz","75195600"
"KPPPPvKN.rtbz","65003088"
"KPPPPvKP.rtbz","9884688"
"KPPPPvKQ.rtbz","598771280"
"KPPPPvKR.rtbz","648855760"
"KPPPvKBB.rtbz","1639231696"
"KPPPvKBN.rtbz","5700349328"
"KPPPvKBP.rtbz","1438176656"
"KPPPvKNN.rtbz","1319290064"
"KPPPvKNP.rtbz","900566160"
"KPPPvKPP.rtbz","89290832"
"KPPPvKQB.rtbz","1517663120"
"KPPPvKQN.rtbz","1962307024"
"KPPPvKQP.rtbz","749323664"
"KPPPvKQQ.rtbz","244347216"
"KPPPvKQR.rtbz","697904848"
"KPPPvKRB.rtbz","3198493456"
"KPPPvKRN.rtbz","4165308368"
"KPPPvKRP.rtbz","1834192656"
"KPPPvKRR.rtbz","929417040"
"KQBBBBvK.rtbz","442639888"
"KQBBBNvK.rtbz","1269738000"
"KQBBBPvK.rtbz","757070608"
"KQBBBvKB.rtbz","1944931472"
"KQBBBvKN.rtbz","1312682640"
"KQBBBvKP.rtbz","2850800528"
"KQBBBvKQ.rtbz","4763815824"
"KQBBBvKR.rtbz","1996923472"
"KQBBNNvK.rtbz","2467698512"
"KQBBNPvK.rtbz","2311477712"
"KQBBNvKB.rtbz","4269589456"
"KQBBNvKN.rtbz","2645881936"
"KQBBNvKP.rtbz","7664378832"
"KQBBNvKQ.rtbz","12000894672"
"KQBBNvKR.rtbz","5037228944"
"KQBBPPvK.rtbz","254611152"
"KQBBPvKB.rtbz","5381837264"
"KQBBPvKN.rtbz","4501896272"
"KQBBPvKP.rtbz","1463137040"
"KQBBPvKQ.rtbz","20454295504"
"KQBBPvKR.rtbz","6253923856"
"KQBBvKBB.rtbz","3792792464"
"KQBBvKBN.rtbz","5444535248"
"KQBBvKBP.rtbz","12072991952"
"KQBBvKNN.rtbz","2132705488"
"KQBBvKNP.rtbz","7988875472"
"KQBBvKPP.rtbz","2083328464"
"KQBBvKQB.rtbz","10557862800"
"KQBBvKQN.rtbz","12068613520"
"KQBBvKQP.rtbz","49615159056"
"KQBBvKQQ.rtbz","4657473360"
"KQBBvKQR.rtbz","10014616272"
"KQBBvKRB.rtbz","8797303888"
"KQBBvKRN.rtbz","7096396624"
"KQBBvKRP.rtbz","15225189648"
"KQBBvKRR.rtbz","5793721232"
"KQBNNNvK.rtbz","1668670288"
"KQBNNPvK.rtbz","2368435792"
"KQBNNvKB.rtbz","3631088976"
"KQBNNvKN.rtbz","3316028240"
"KQBNNvKP.rtbz","8200789520"
"KQBNNvKQ.rtbz","14141400400"
"KQBNNvKR.rtbz","6549407440"
"KQBNPPvK.rtbz","503942608"
"KQBNPvKB.rtbz","7730150928"
"KQBNPvKN.rtbz","6949504784"
"KQBNPvKP.rtbz","2994883984"
